policy_id,customer_age,region_code,region_density,subscription_length,property_age,property_value,property_type,coverage_amount,claim_date,claim_type,claim_amount,deductible_met,year,month,year_month
POL006648,43,C8,8794,5.2,23,336000,Condo,323000,2021-01-14,Theft,3103.27,True,2021,1,2021-01
POL022438,53,C8,8794,9.2,53,264000,Single-Family,257000,2021-01-14,Theft,2204.74,True,2021,1,2021-01
POL014287,41,C13,5410,6.3,34,228000,Townhouse,194000,2021-01-03,Fire (Non-Wildfire),26888.63,True,2021,1,2021-01
POL005105,39,C22,16733,11.0,28,456000,Condo,365000,2021-01-13,Wind/Hail,11590.03,True,2021,1,2021-01
POL052926,48,C2,27003,12.4,7,476000,Single-Family,447000,2021-01-08,Water Damage,11850.58,True,2021,1,2021-01
POL028241,40,C13,5410,5.5,39,322000,Single-Family,312000,2021-01-24,Water Damage,8743.22,True,2021,1,2021-01
POL019475,45,C3,4076,5.6,21,388000,Single-Family,350000,2021-01-06,Water Damage,7988.19,True,2021,1,2021-01
POL036394,53,C2,27003,3.1,35,324000,Condo,265000,2021-01-02,Water Damage,6465.99,True,2021,1,2021-01
POL008215,45,C14,7788,12.1,26,409000,Single-Family,336000,2021-01-06,Water Damage,4463.52,True,2021,1,2021-01
POL014473,60,C11,6108,8.1,38,415000,Condo,374000,2021-01-20,Liability,20198.94,True,2021,1,2021-01
POL003997,50,C2,27003,4.5,20,495000,Single-Family,480000,2021-01-14,Water Damage,10126.9,True,2021,1,2021-01
POL026535,37,C14,7788,12.0,22,388000,Single-Family,333000,2021-01-07,Theft,1231.15,True,2021,1,2021-01
POL049337,47,C12,34791,10.8,17,466000,Single-Family,394000,2021-01-27,Theft,2374.66,True,2021,1,2021-01
POL034983,47,C5,34738,0.1,29,394000,Single-Family,329000,2021-01-17,Theft,3770.49,True,2021,1,2021-01
POL029087,36,C13,5410,3.2,19,400000,Single-Family,387000,2021-01-03,Wind/Hail,4927.34,True,2021,1,2021-01
POL011205,43,C9,17804,1.0,45,182000,Single-Family,166000,2021-01-14,Other,2022.62,True,2021,1,2021-01
POL049695,53,C5,34738,3.5,53,469000,Single-Family,437000,2021-01-24,Liability,13712.49,True,2021,1,2021-01
POL038410,42,C7,6112,3.9,23,361000,Single-Family,295000,2021-01-01,Theft,3158.15,True,2021,1,2021-01
POL057818,54,C2,27003,3.0,54,100000,Townhouse,87000,2021-01-26,Liability,9860.72,True,2021,1,2021-01
POL053786,35,C5,34738,6.1,53,306000,Single-Family,267000,2021-01-12,Liability,9122.21,True,2021,1,2021-01
POL033523,39,C19,27742,0.9,16,478000,Condo,425000,2021-01-03,Theft,2960.59,True,2021,1,2021-01
POL053962,36,C1,4990,9.4,56,148000,Duplex,142000,2021-01-19,Liability,6600.74,True,2021,1,2021-01
POL034384,51,C8,8794,6.2,4,434000,Condo,394000,2021-01-12,Theft,1961.8,True,2021,1,2021-01
POL025409,37,C5,34738,4.9,13,621000,Single-Family,585000,2021-01-24,Other,2855.57,True,2021,1,2021-01
POL002086,40,C7,6112,1.0,15,140000,Single-Family,132000,2021-01-14,Water Damage,11012.71,True,2021,1,2021-01
POL045661,44,C1,4990,3.4,15,420000,Single-Family,419000,2021-01-01,Theft,2072.33,True,2021,1,2021-01
POL009252,48,C2,27003,10.6,13,420000,Single-Family,348000,2021-01-26,Theft,3063.29,True,2021,1,2021-01
POL021097,48,C13,5410,2.3,31,342000,Condo,307000,2021-01-05,Wind/Hail,8798.48,True,2021,1,2021-01
POL014380,46,C1,4990,1.1,26,335000,Townhouse,321000,2021-01-07,Water Damage,6778.11,True,2021,1,2021-01
POL030753,55,C5,34738,2.4,40,443000,Condo,362000,2021-01-20,Theft,5722.93,True,2021,1,2021-01
POL009839,40,C5,34738,0.9,7,387000,Single-Family,338000,2021-01-26,Liability,18813.98,True,2021,1,2021-01
POL024822,37,C13,5410,1.4,46,414000,Single-Family,346000,2021-01-19,Liability,13307.78,True,2021,1,2021-01
POL042407,44,C12,34791,9.3,42,384000,Single-Family,311000,2021-01-26,Theft,2318.21,True,2021,1,2021-01
POL056088,46,C10,73430,3.8,49,601000,Single-Family,560000,2021-01-06,Theft,1944.68,True,2021,1,2021-01
POL018237,36,C6,13051,5.2,27,419000,Single-Family,378000,2021-01-21,Wind/Hail,9987.05,True,2021,1,2021-01
POL042963,40,C13,5410,12.3,3,416000,Townhouse,359000,2021-01-18,Liability,13010.4,True,2021,1,2021-01
POL027695,35,C9,17804,6.0,38,420000,Single-Family,376000,2021-01-06,Wind/Hail,2546.83,True,2021,1,2021-01
POL013662,56,C5,34738,12.0,43,506000,Single-Family,480000,2021-01-11,Liability,3781.82,True,2021,1,2021-01
POL023514,47,C5,34738,5.4,40,309000,Single-Family,307000,2021-01-03,Water Damage,8882.3,True,2021,1,2021-01
POL058095,59,C13,5410,0.8,1,205000,Single-Family,190000,2021-01-09,Liability,12645.34,True,2021,1,2021-01
POL007427,40,C2,27003,0.2,37,556000,Single-Family,520000,2021-01-03,Water Damage,5382.3,True,2021,1,2021-01
POL032848,54,C5,34738,8.7,5,516000,Single-Family,459000,2021-01-25,Theft,985.56,False,2021,1,2021-01
POL004924,54,C3,4076,1.2,17,230000,Townhouse,189000,2021-01-06,Theft,536.91,False,2021,1,2021-01
POL037644,39,C3,4076,3.3,22,387000,Condo,383000,2021-01-24,Wind/Hail,4177.61,True,2021,1,2021-01
POL011844,37,C5,34738,1.0,33,439000,Single-Family,408000,2021-01-09,Water Damage,7266.66,True,2021,1,2021-01
POL003242,40,C10,73430,11.1,38,802000,Single-Family,777000,2021-01-08,Liability,15320.5,True,2021,1,2021-01
POL047292,48,C2,27003,6.0,8,576000,Single-Family,488000,2021-01-27,Water Damage,8056.86,True,2021,1,2021-01
POL036757,50,C8,8794,11.0,24,450000,Condo,382000,2021-01-02,Fire (Non-Wildfire),35639.87,True,2021,1,2021-01
POL034193,60,C13,5410,11.2,34,263000,Single-Family,253000,2021-01-19,Theft,3105.07,True,2021,1,2021-01
POL006794,54,C2,27003,4.6,10,471000,Single-Family,468000,2021-01-24,Liability,14463.5,True,2021,1,2021-01
POL039081,49,C3,4076,5.7,50,396000,Townhouse,359000,2021-01-16,Liability,16700.39,True,2021,1,2021-01
POL033898,42,C2,27003,3.2,29,400000,Single-Family,359000,2021-02-13,Theft,1113.31,True,2021,2,2021-02
POL018567,38,C13,5410,11.5,25,319000,Condo,256000,2021-02-14,Wind/Hail,8806.22,True,2021,2,2021-02
